movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,production_budget,worldwide_gross,release_date
tt1956620,sex tape,2014,94.0,"Comedy,Romance",5.1,100520,Sony,38500000.0,87500000.0,40000000.0,126069509.0,2014-07-18
tt1961175,american assassin,2017,112.0,"Action,Thriller",6.2,57793,LGF,36200000.0,31000000.0,63000000.0,68310140.0,2017-09-15
tt1961562,the house,2011,109.0,"Drama,Mystery,Thriller",4.6,50,WB (NL),25600000.0,8600000.0,40000000.0,31192425.0,2017-06-30
tt2408288,the house,2011,72.0,Animation,7.3,58,WB (NL),25600000.0,8600000.0,40000000.0,31192425.0,2017-06-30
tt3425402,the house,2016,90.0,Thriller,4.5,476,WB (NL),25600000.0,8600000.0,40000000.0,31192425.0,2017-06-30
tt4481514,the house,2017,88.0,"Comedy,Crime",5.6,33365,WB (NL),25600000.0,8600000.0,40000000.0,31192425.0,2017-06-30
tt1964418,tomorrowland,2015,130.0,"Action,Adventure,Family",6.4,161343,BV,93400000.0,115700000.0,170000000.0,206627518.0,2015-05-22
tt7728220,tomorrowland,2017,70.0,Documentary,6.3,7,BV,93400000.0,115700000.0,170000000.0,206627518.0,2015-05-22
tt1966359,father figures,2017,113.0,"Adventure,Comedy,Drama",5.5,14373,WB,17500000.0,8100000.0,25000000.0,21038441.0,2017-12-22
tt2925960,father figures,2013,58.0,Documentary,6.8,102,WB,17500000.0,8100000.0,25000000.0,21038441.0,2017-12-22
tt1967545,labor day,2013,111.0,"Drama,Romance",6.9,39242,Par.,13400000.0,6900000.0,18000000.0,14189810.0,2014-01-31
tt1967669,tag,2015,91.0,Drama,4.6,158,WB (NL),54700000.0,23400000.0,28000000.0,77026186.0,2018-06-15
tt2854926,tag,2018,100.0,Comedy,6.5,85186,WB (NL),54700000.0,23400000.0,28000000.0,77026186.0,2018-06-15
tt4439120,tag,2015,85.0,"Action,Fantasy,Horror",6.1,4331,WB (NL),54700000.0,23400000.0,28000000.0,77026186.0,2018-06-15
tt1972571,a most wanted man,2014,122.0,"Crime,Drama,Thriller",6.8,67914,RAtt.,17200000.0,19000000.0,15000000.0,36068890.0,2014-07-25
tt1972591,king arthur: legend of the sword,2017,126.0,"Action,Adventure,Drama",6.8,169054,WB,39200000.0,109500000.0,175000000.0,139630336.0,2017-05-12
tt1972779,the best of me,2014,118.0,"Drama,Romance",6.7,59750,Rela.,26800000.0,9200000.0,26000000.0,41059418.0,2014-10-17
tt1976009,victor frankenstein,2015,110.0,"Drama,Horror,Sci-Fi",6.0,47492,Fox,5800000.0,28500000.0,40000000.0,31124367.0,2015-11-25
tt1979388,the good dinosaur,2015,93.0,"Adventure,Animation,Comedy",6.7,91465,BV,123100000.0,209100000.0,187500000.0,333771037.0,2015-11-25
tt1981115,thor: the dark world,2013,112.0,"Action,Adventure,Fantasy",6.9,540996,BV,206400000.0,438200000.0,150000000.0,644602516.0,2013-11-08
tt1981128,geostorm,2017,109.0,"Action,Sci-Fi,Thriller",5.3,78287,WB,33700000.0,187900000.0,100000000.0,220796009.0,2017-10-20
tt1981677,pitch perfect,2012,112.0,"Comedy,Music,Romance",7.2,256565,Uni.,65000000.0,50300000.0,17000000.0,116044347.0,2012-09-28
tt1985949,the angry birds movie,2016,97.0,"Action,Animation,Comedy",6.3,69624,Sony,107500000.0,244800000.0,73000000.0,352327887.0,2016-05-20
tt1985966,cloudy with a chance of meatballs 2,2013,95.0,"Adventure,Animation,Comedy",6.4,81010,Sony,119800000.0,154500000.0,78000000.0,274392649.0,2013-09-27
tt1991245,chernobyl diaries,2012,86.0,"Horror,Mystery,Thriller",5.0,60304,WB,18100000.0,19000000.0,1000000.0,42411721.0,2012-05-25
tt1999890,hell fest,2018,89.0,Horror,5.5,8662,LGF,11100000.0,7100000.0,5500000.0,18119231.0,2018-09-28
tt2002718,machete kills,2013,107.0,"Action,Crime,Sci-Fi",5.6,69968,ORF,8000000.0,7000000.0,20000000.0,18273009.0,2013-10-11
tt2004420,neighbors,2014,97.0,Comedy,6.3,266020,Uni.,150200000.0,120500000.0,18000000.0,270944428.0,2014-05-09
tt9392532,neighbors,2018,90.0,"Comedy,Drama",7.6,18,Uni.,150200000.0,120500000.0,18000000.0,270944428.0,2014-05-09
tt2005151,war dogs,2016,114.0,"Comedy,Crime,Drama",7.1,154029,WB,43000000.0,43200000.0,50000000.0,86234503.0,2016-08-19
tt2006295,the 33,2015,127.0,"Biography,Drama,History",6.9,32263,WB,12200000.0,12700000.0,25000000.0,28400715.0,2015-11-13
tt2015381,guardians of the galaxy,2014,121.0,"Action,Adventure,Comedy",8.1,948394,BV,333200000.0,440200000.0,170000000.0,770867516.0,2014-08-01
tt2017020,the smurfs 2,2013,105.0,"Adventure,Animation,Comedy",5.4,34229,Sony,71000000.0,276500000.0,110000000.0,348547523.0,2013-07-31
tt2017038,all is lost,2013,106.0,"Action,Adventure,Drama",6.9,70888,RAtt.,6300000.0,7400000.0,8500000.0,10386814.0,2013-10-18
tt2023453,diary of a wimpy kid: dog days,2012,94.0,"Comedy,Family",6.3,19571,Fox,49000000.0,28100000.0,22000000.0,77229695.0,2012-08-03
tt2024432,identity thief,2013,111.0,"Adventure,Comedy,Crime",5.7,115624,Uni.,134500000.0,39500000.0,35000000.0,175361578.0,2013-02-08
tt2024469,non-stop,2014,106.0,"Action,Mystery,Thriller",7.0,234717,Uni.,92200000.0,130600000.0,50000000.0,222383055.0,2014-02-28
tt2024544,12 years a slave,2013,134.0,"Biography,Drama,History",8.1,577301,FoxS,56700000.0,131100000.0,20000000.0,181025343.0,2013-10-18
tt2025690,the finest hours,2016,117.0,"Action,Drama,History",6.8,55981,BV,27600000.0,24500000.0,70000000.0,49252761.0,2016-01-29
tt2034800,the great wall,2016,103.0,"Action,Adventure,Fantasy",6.0,111602,Uni.,45500000.0,289400000.0,150000000.0,334486852.0,2017-02-17
tt7535780,the great wall,2017,72.0,Documentary,6.5,24,Uni.,45500000.0,289400000.0,150000000.0,334486852.0,2017-02-17
tt2042568,inside llewyn davis,2013,104.0,"Drama,Music",7.5,123759,CBS,13200000.0,19700000.0,11000000.0,32943247.0,2013-12-06
tt2058107,the railway man,2013,116.0,"Biography,Drama,Romance",7.1,34586,Wein.,4400000.0,17900000.0,18000000.0,23910210.0,2014-04-11
tt2080374,steve jobs,2015,122.0,"Biography,Drama",7.2,138668,Uni.,17800000.0,16700000.0,30000000.0,35579007.0,2015-10-09
tt2083355,the best man holiday,2013,123.0,"Comedy,Drama",6.7,13967,Uni.,70500000.0,2300000.0,17000000.0,72835710.0,2013-11-15
tt2083383,trouble with the curve,2012,111.0,"Drama,Sport",6.8,56129,WB,35800000.0,13200000.0,60000000.0,47818913.0,2012-09-21
tt2084970,the imitation game,2014,114.0,"Biography,Drama,Thriller",8.0,620834,Wein.,91100000.0,142400000.0,15000000.0,227740463.0,2014-11-28
tt2091256,captain underpants: the first epic movie,2017,89.0,"Action,Animation,Comedy",6.2,21903,Fox,73900000.0,51600000.0,38000000.0,126577874.0,2017-06-02
tt2096672,dumb and dumber to,2014,109.0,"Adventure,Comedy",5.6,118646,Uni.,86200000.0,83600000.0,40000000.0,156553592.0,2014-11-14
tt2097298,"mcfarland, usa",2015,129.0,"Biography,Drama,Sport",7.4,31735,BV,44500000.0,1200000.0,17000000.0,45707924.0,2015-02-20
tt2101341,dead man down,2013,118.0,"Action,Crime,Drama",6.5,61238,FD,10900000.0,7200000.0,30000000.0,19599974.0,2013-03-08
tt2101441,spring breakers,2012,94.0,"Comedy,Crime,Drama",5.3,126504,A24,14100000.0,17600000.0,5000000.0,31149251.0,2013-03-15
tt2103254,tammy,2014,97.0,"Comedy,Romance",4.9,44345,WB (NL),84500000.0,16000000.0,20000000.0,96407655.0,2014-07-02
tt2103281,dawn of the planet of the apes,2014,130.0,"Action,Adventure,Drama",7.6,390199,Fox,208500000.0,502100000.0,170000000.0,710644566.0,2014-07-11
tt2106361,into the storm,2014,89.0,"Action,Adventure,Drama",5.8,60894,WB (NL),47600000.0,114100000.0,50000000.0,150429371.0,2014-08-08
tt2109184,paranormal activity 4,2012,88.0,"Horror,Mystery,Thriller",4.6,58408,Par.,53900000.0,88900000.0,5000000.0,142817992.0,2012-10-19
tt2109248,transformers: age of extinction,2014,165.0,"Action,Adventure,Sci-Fi",5.7,283486,Par.,245400000.0,858600000.0,210000000.0,1104039076.0,2014-06-27
tt2119532,hacksaw ridge,2016,139.0,"Biography,Drama,History",8.1,366904,LGF,67200000.0,108100000.0,40000000.0,168904682.0,2016-11-04
tt2119543,the house with a clock in its walls,2018,105.0,"Comedy,Fantasy,Horror",6.0,32995,Uni.,68500000.0,62900000.0,40000000.0,126331750.0,2018-09-21
tt2121250,alpha,2013,116.0,Crime,5.5,102,Studio 8,35900000.0,62300000.0,51000000.0,99624873.0,2018-08-17
tt3166734,alpha,2015,80.0,"Drama,Horror,Mystery",7.7,37,Studio 8,35900000.0,62300000.0,51000000.0,99624873.0,2018-08-17
